Species,Data_source,Predictor,Distributional_range,Model_score
Luscinia svecica,standardized,habitat-based,II,0.95
Marmaronetta angustirostris,standardized,climate-based,I,0.99
Marmaronetta angustirostris,standardized,combination,I,0.98
Marmaronetta angustirostris,standardized,habitat-based,I,0.92
Melanocorypha calandra,standardized,climate-based,IV,0.89
Melanocorypha calandra,standardized,combination,IV,0.91
Melanocorypha calandra,standardized,habitat-based,IV,0.9
Merops apiaster,standardized,climate-based,IV,0.92
Merops apiaster,standardized,combination,IV,0.92
Merops apiaster,standardized,habitat-based,IV,0.9
Milvus migrans,standardized,climate-based,IV,0.87
Milvus migrans,standardized,combination,IV,0.85
Milvus migrans,standardized,habitat-based,IV,0.82
Milvus milvus,standardized,climate-based,IV,0.89
Milvus milvus,standardized,combination,IV,0.89
Milvus milvus,standardized,habitat-based,IV,0.84
Monticola saxatilis,standardized,climate-based,IV,0.92
Monticola saxatilis,standardized,combination,IV,0.9
Monticola saxatilis,standardized,habitat-based,IV,0.87
Monticola solitarius,standardized,climate-based,IV,0.85
Monticola solitarius,standardized,combination,IV,0.83
Monticola solitarius,standardized,habitat-based,IV,0.81
Montifringilla nivalis,standardized,climate-based,I,0.99
Montifringilla nivalis,standardized,combination,I,0.99
Montifringilla nivalis,standardized,habitat-based,I,0.99
Motacilla alba,standardized,climate-based,IV,0.87
Motacilla alba,standardized,combination,IV,0.86
Motacilla alba,standardized,habitat-based,IV,0.83
Motacilla cinerea,standardized,climate-based,IV,0.86
Motacilla cinerea,standardized,combination,IV,0.86
Motacilla cinerea,standardized,habitat-based,IV,0.85
Motacilla flava,standardized,climate-based,IV,0.88
Motacilla flava,standardized,combination,IV,0.87
Motacilla flava,standardized,habitat-based,IV,0.84
Neophron percnopterus,standardized,climate-based,IV,0.9
Neophron percnopterus,standardized,combination,IV,0.89
Neophron percnopterus,standardized,habitat-based,IV,0.85
Netta rufina,standardized,climate-based,II,0.92
Netta rufina,standardized,combination,II,0.89
Netta rufina,standardized,habitat-based,II,0.87
Numenius arquata,standardized,climate-based,I,1
Numenius arquata,standardized,combination,I,1
Numenius arquata,standardized,habitat-based,I,0.99
Nycticorax nycticorax,standardized,climate-based,II,0.88
Nycticorax nycticorax,standardized,combination,II,0.9
Nycticorax nycticorax,standardized,habitat-based,II,0.84
Oenanthe hispanica,standardized,climate-based,IV,0.88
Oenanthe hispanica,standardized,combination,IV,0.88
Oenanthe hispanica,standardized,habitat-based,IV,0.86
Oenanthe leucura,standardized,climate-based,IV,0.91
Oenanthe leucura,standardized,combination,IV,0.9
Oenanthe leucura,standardized,habitat-based,IV,0.85
Oenanthe oenanthe,standardized,climate-based,IV,0.93
Oenanthe oenanthe,standardized,combination,IV,0.9
Oenanthe oenanthe,standardized,habitat-based,IV,0.86
Oriolus oriolus,standardized,climate-based,IV,0.84
Oriolus oriolus,standardized,combination,IV,0.85
Oriolus oriolus,standardized,habitat-based,IV,0.84
Otis tarda,standardized,climate-based,III,0.91
Otis tarda,standardized,combination,III,0.91
Otis tarda,standardized,habitat-based,III,0.91
Otus scops,standardized,climate-based,IV,0.82
Otus scops,standardized,combination,IV,0.81
Otus scops,standardized,habitat-based,IV,0.86
Oxyura leucocephala,standardized,climate-based,I,0.96
Oxyura leucocephala,standardized,combination,I,0.96
Oxyura leucocephala,standardized,habitat-based,I,0.93
Pandion haliaetus,standardized,climate-based,I,0.96
